id,name,malldesc,pngname,mallPrice,realPrice
10400036,草绿兽蛋,被加工成绿色的兽蛋，难道是某种食物。,11400036_png,0.6,0.6
10400037,魅色皮草,寄宿着炎之力的皮毛让狐妖与法师处于对立关系。 ,11400037_png,0.5,0.5
10400038,青绿皮草,寄宿着大地之力的皮毛让草原熊与法师处于对立关系。 ,11400038_png,0.5,0.5
10400039,龙鳞,战争早已落下帷幕，鳞片预示着龙族的伤痕。  ,11400039_png,0.7,0.7
10400040,钢石,曾作为魔法铠甲的金属，已经暗淡无光。 ,11400040_png,0.7,0.7
10400041,蓝色试剂,法师用于合成魔法石的常用试剂。,11400041_png,0.3,0.3
10400042,绿色试剂,法师用于合成魔法石的常用试剂。,11400042_png,0.3,0.3
10400043,紫色试剂,法师用于合成魔法石的常用试剂。,11400043_png,0.3,0.3
10400044,淬空磁粉,诞生于虚空，是古代浮空魔法的重要组成。   ,11400044_png,0.4,0.4
10400045,沙洲幻剂,幻剂被认为是进入“海市蜃楼”秘境的关键所在。   ,11400045_png,0.4,0.4
10400046,浊硝石,炼狱之火能吞噬意志脆弱之人。产生的火焰是地狱的信标。 ,11400046_png,0.3,0.3
10400047,清硝石,幽魂之火能吞噬意志薄弱之人。产生的火焰是冥界的信标。 ,11400047_png,0.3,0.3
10400048,高纯度幻剂,高纯度的幻剂是形成“海市蜃楼”的关键。,11400045_png,1.0,1.0
10400049,魂珠沙裂也,古之圣兽沙裂也死后散落下来的灵魂碎珠。,11400009_png,1.0,1.0
10400050,真磁碎片,极高磁性的石碎片，石碎片的灵力已经迸发出来。 ,11400011_png,1.0,1.0
10400051,淬空结晶,混沌之始形成的塞尔哈磁山核心矿物，极度稀有。,11400044_png,1.0,1.0
10400052,深海原珠,海中诞生的水元素不断下沉至深海，因长年高压凝结而成。,11400031_png,1.0,1.0
10400053,幻夜海清,传说月圆时，幻之海的水元素溶解在岸边才会形成。,11400022_png,1.0,1.0
10400054,肉灵,尸体不断堆积了千年，瘴气、腐化的肉体与怨念结合……,11400030_png,1.0,1.0
10400055,瘴腐毒凝胶,瘴气熏洗的腐尸未完全液化时的胶脂。   ,11400021_png,1.0,1.0
10400056,石兽骨锤,曾被龙奴役的巨石偶手骨。不知道究竟发生过什么。,11400007_png,1.0,1.0
10400057,极钢石,古代作为与龙作战的魔法师铠甲，仍能与魔法共鸣。,11400040_png,1.0,1.0
10400058,灼热爆燃珠,愤怒的炎魔灵魂，澎湃的火焰几乎冲破外壁。,11400032_png,1.0,1.0
10400059,焦炭核心,液态的碳化物，涌动的热能。  ,11400023_png,1.0,1.0
10400060,古龙鳞,似乎还在被什么吸引……,11400039_png,1.0,1.0
10600010,灵魂,复活魔法曾是一种禁忌，直到战争利剑砍断了禁忌枷锁。使用后复活一次,11600010_png,0.6,0.6
10600006,通行证,出门打猎必备许可证！,11600006_png,0.2,0.2
10600001,水果套餐,水果不仅美味，食用后回复的少量魔法抗性才是其备受关注的原因,11600001_png,0.2,0.2
10600002,烤肉套餐,魔法师补充体力的常见套餐。食用后恢复少量HP与魔法抗性,11600002_png,0.4,0.4
10600003,均衡套餐,用魔法火焰烹制的美味令人上瘾。食用后恢复中量HP与魔法抗性,11600003_png,0.3,0.3
10600004,祈福项链,魔法给予人们以慰藉，祈祷的力量源于内心。使用后稀有道具获得率提高,11600004_png,0.4,0.4
10600005,抓捕怪夹,魔法兽夹与魔物的共鸣让猎杀行业兴盛不衰。使用后怪物捕获的几率提高,11600005_png,0.4,0.4
10600008,回血药丸,激烈的战斗为这些小药丸提供了巨大的市场。使用后回复少量HP,11600008_png,0.2,0.2
10600009,救命血瓶,传说洋溢着魔力的药水会令人无法自拔。使用后回复大量HP,11600009_png,0.2,0.2
10600014,石之钥匙,拓展仓库里素材栏空间（每个钥匙可拓展5格）,11600014_png,10,10
10600015,魔力钥匙,拓展仓库里魔法石栏的空间（每个钥匙可拓展5格）,11600015_png,10,10
10600016,祈愿钥匙,拓展仓库里战斗道具栏的空间（每个钥匙可拓展5格）,11600016_png,10,10
10600017,结晶钥匙,拓展仓库里结晶栏的空间（每个钥匙可拓展5格）,11600017_png,10,10
10600018,精灵钥匙,拓展宠物栏（每个钥匙可拓展5格）,11600018_png,10,10
10600019,大地徽记,激活土地之力的元素徽章,11600019_png,0.3,0.3
10600020,闪电徽记,激活闪电之力的元素徽章,11600020_png,0.3,0.3
10600021,清流徽记,激活大海之力的元素徽章,11600021_png,0.3,0.3
10600022,猛毒徽记,激活毒蛊之力的元素徽章,11600022_png,0.3,0.3
10600023,锖钢徽记,激活钢铁之力的元素徽章,11600023_png,0.3,0.3
10600024,爆炎徽记,激活火焰之力的元素徽章,11600024_png,0.3,0.3
00300001,小团子,在乱石堆中觅食，因为一动不动而常被旅途者误认为普通的石块。,01300001_png,1.7,1.7
00300002,大颚石,栖息于矿洞中的石怪，因环境的不同而生长出了不同质地的岩石身体。,01300002_png,1.7,1.7
00300003,巨颚岩,暴躁的巨颚岩，令人畏惧三分，只要被其他生物踩到就会大发雷霆。,01300003_png,2.5,2.5
00300004,双耳鹦,肉食性双耳朵鹦会模仿其他生物的叫声，并吸引猎物走入自己的圈套。,01300004_png,3.4,3.4
00300005,大眼鹰,只剩下一只眼球的大眼鹰，是监视者么？究竟谁在操纵它。,01300005_png,3.3,3.3
00300006,颈蛇龙,现代龙族的某个分支后裔，巨大的颈扇片让人不寒而栗。,01300006_png,5.0,5.0
00300007,岩石巨偶,岩石类怪物的领袖，最完美的进化体。传说中的独眼巨人。,01300007_png,5.0,5.0
00300008,鬃蛇龙,现代龙族的某个分支后裔，络腮的紫色鬃毛似乎有着不为人知的秘密。,01300008_png,5.0,5.0
00301001,小沙虫,在沙地中构筑漏斗型的巢穴，静静的等待猎物掉入自己的口中。,01301001_png,1.7,1.7
00301002,穿山虫,进化的双钳可以凿开坚硬的山石，为了寻找猎物一天要挖20公里。,01301002_png,1.7,1.7
00301003,沙猎王,巨大的钳刃让凶猛的野兽也闻风丧胆，在沙漠中移动速度无人能及。,01301003_png,3.3,3.3
00301004,沙裂龙,沙地恐怖的魅影，血色蜿蜒的轨迹……,01301004_png,4.2,4.2
00301005,沙尘冢,远看如沙雕墓冢，实为沙地恶灵。隐匿在沙丘尘海之中。,01301005_png,5.0,5.0
00301006,沙虫猎手,穿山虫的变异形态，迅猛而狡诈。无数旅人葬送与它的骨镰爪下。,01301006_png,5.0,5.0
00301007,沙尘妖冢,妖化极深的沙地恶灵。血印的海市蜃楼。,01301007_png,5.0,5.0
00302001,小磁铁,法师用魔法创造的小型构造体，在一次起义后，成功逃出了法师的魔掌。,01302001_png,2.5,2.5
00302002,磁石兽,全身就是一块磁铁，因为怕被随时飞来的铁器砸到而远离人类村庄。,01302002_png,2.5,2.5
00302003,磁晶怪,能自由操纵电与磁的强大力量，有每年打造一块电气符文的习性。,01302003_png,2.5,2.5
00302004,磁球魔人,失落遗迹的守卫，两吨的电磁拳击无人可以招架。因太重而无法移动。,01302004_png,5.0,5.0
00302005,浮石子,难得一见的魔法生物，因藏有魔法飞行的秘密，而成为了法师的目标。,01302005_png,3.3,3.3
00302006,浮石怪,罕见的魔法生物，传说它能飞行是因为身体内藏有古代的魔法石块。,01302006_png,3.3,3.3
00302007,磁晶魔人,操纵电磁力量的巨型魔人，塞尔哈的守护神。,01302007_png,3.3,3.3
00303001,水童子,长相丑陋却性格温顺，在水边嬉戏打闹，能与人类小孩打成一片。,01303001_png,2.5,2.5
00303002,河川伯,成人仪式后，性格逐渐变得孤僻，在远离岸边的泥沼中默默的注视一切。,01303002_png,3.3,3.3
00303003,娜迦王,在陆上难得一见，作为娜迦水族的一员，娜迦王在水底守卫着秘宝。,01303003_png,4.6,4.6
00303004,抛抛鱼,傻呆呆的抛抛鱼，居然能轻而易举的将海水变成固体球并抛出去。,01303004_png,3.3,3.3
00303005,针刺螺,浅滩上的大块头，很有领土意识，会像螃蟹一样攻击进入领地的敌人。,01303005_png,3.3,3.3
00303006,水龙龟,曾被认为是水怪，却很少被人所见。有人说是古龙的分支。,01303006_png,5.0,5.0
00303007,赤龙蛙,东方神秘国度的变种蛙，由龙图腾般的样貌，却是娜迦王一样的身躯。,01303007_png,5.0,5.0
00304001,孢子头,性格可爱但却十分危险，时而喷发的蘑菇孢子会让人昏昏欲睡。,01304001_png,3.3,3.3
00304002,尖尖头,性格可爱但却十分危险，长出的尖角十分坚硬，受到威胁时会发射尖刺。,01304002_png,3.7,3.7
00304003,钢盔头,钢盔上的尖刺让人畏惧，当感受到威胁时它会毫不犹豫的毒刺撞击。,01304003_png,4.6,4.6
00304004,南瓜灯,午夜时会在漆黑的森林中游荡，两眼放出灯光为旅行者照亮道路。,01304004_png,4.5,4.5
00304005,麻花藤,藤曼扎根在泥土中的花蕾，会在泥沼中麻痹因好奇而接近的旅人。,01304005_png,3.3,3.3
00304006,大食花,退却了可爱的外表，暴露出了凶相，会吞食一切在攻击范围内的生物。,01304006_png,4.6,4.6
00304007,美杜莎,危险凶残的毒沼怪兽，如蛇一样攻击一切生物。毒性非常强。,01304007_png,5.0,5.0
00305001,结晶囚徒,传说中被矮人囚禁的犯人，在矿山牢房中与矿石逐渐融合，失去了人性。,01305001_png,2.5,2.5
00305002,结晶丧尸,结晶囚徒死亡后，被魔晶石所支配的怪物，拥有超乎常人的怪力。,01305002_png,3.3,3.3
00305003,结晶巨人,肉体消亡，取而代之的是厚重的结晶盔甲，带着怨念出没城市袭击人类。,01305003_png,4.2,4.2
00305004,石玉柱,不明由来的结晶生物，还没有人研究过他。但看起来似乎挺危险。,01305004_png,2.5,2.5
00306001,熔岩猿,出没于火山口的猿类生物，因为种族隔离早已与祖先失去了联系。,01306001_png,5.8,5.8
00306002,小岩汪,出没于火山口犬类生物，似乎还很幼小。据说成年的小岩汪很可怕。,01306002_png,2.5,2.5
00306003,熔岩犬,在火山中寻觅猎物，凶猛而迅速。被认为是地狱的使者。,01306003_png,3.3,3.3
00306004,炎魔兽,亚哈洛火山最凶猛的野兽，地狱之犬。,01306004_png,4.2,4.2
00306005,贪食巨偶,火山中少有的魔法构造体。带着怨念的玩偶将吞食一切。,01306005_png,6.7,6.7
00307001,红飞龙,远古巨龙的，是罕见的现存的凶恶火龙。其巨大的力量可毁灭城市。,01307001_png,8.4,8.4
00307002,小甲龙,保护自己的是头部外骨骼。幼年时期就已经坚硬无比。,01307002_png,3.3,3.3
00307003,青铠龙,坚硬外骨骼成为了保护自身的铠甲。青铠则是龙族独有的龙鳞。,01307003_png,4.2,4.2
00307004,霸角古龙,变异了的远古龙种，奔跑与撞击会摧毁一切阻挡物。,01307004_png,8.4,8.4
00308001,鸡骑士,抱有成为骑士梦想的神奇小鸡，满富正义感而又萌萌哒。,01308001_png,3.3,3.3
00308002,红蜥龙,不要被它的外表所欺骗，这红条龙有呆滞的眼神，但破坏力却丝毫不差。,01308002_png,3.3,3.3
00308003,绿蜥龙,不要被它的外表所欺骗，这绿条龙有呆滞的眼神，但破坏力却丝毫不差。,01308003_png,3.3,3.3
00308004,抓抓喵,集可爱于力量于一身的抓抓喵，喜欢圆滚滚的东西，比如毛线球与满月。,01308004_png,3.3,3.3
00308005,豌豆炮,看起来怒目相向的豌豆炮，只是长得不开心罢了。,01308005_png,3.3,3.3
00308006,啵啵,圆滚滚的善良的啵啵，一直被人类所喜爱。,01308006_png,2.5,2.5
00308009,九尾火魃,吸收了炎魔灵魂的高等级活尸，继承炎魔之力而成为新一代火炎之神。,01308009_png,12.7,12.7
00308010,结晶泰坦,结晶化的泰坦巨人，附着着深邃的钢之力，是真正的钢之神,01308010_png,12.7,12.7
00308011,瘴毒藤兽,毒瘴之气异化了的巨人，化身为毒瘴之神。,01308011_png,12.7,12.7
00308012,抓抓异端,变异的抓抓喵，被族人驱逐，命运悲惨，但并不会因此轻易伤害人类。,01308012_png,12.7,12.7
00308013,菠萝炮,时尚的水果怪物，并没有那么吓人。,01308013_png,12.7,12.7
00308014,雷古龙,征服了雷电之力的雷古龙是现存最古老的元素龙种之一。,01308014_png,12.7,12.7
00308015,古海蛟,征服了水之力的古海蛟，是现存最古老的元素龙种之一。,01308015_png,12.7,12.7
00308016,沙暴巨龟,附着着沙石之力的巨大古生物，曾击退过早期的古龙。,01308016_png,12.7,12.7
10500101,金罗盘,魔法的基础容器之一。魔法金罗盘相遇时将激发巨大能量并融合为金矩阵,11500101_png,2,2
10500102,金矩阵,魔法的初级容器之一。魔法金矩阵相遇时将激发巨大能量并融合为金结晶,11500102_png,4,4
10500103,金结晶,魔法的中级容器之一。魔法金结晶相遇时激发巨大能量并融合为金六芒星,11500103_png,8,8
10500104,金六芒星,魔法的高级容器之一。金六芒星相遇时将激发巨大的能量并融合为金法阵,11500104_png,10,10
10500105,金阵法,魔法顶级容器。金法阵相遇时将激发巨大能量，这股能量风暴将扫荡一切,11500105_png,12,12
10500201,玉罗盘,魔法的基础容器之一。魔法玉罗盘相遇时将激发巨大能量并融合为玉矩阵,11500201_png,2,2
10500202,玉矩阵,魔法的初级容器之一。魔法玉矩阵相遇时将激发巨大能量并融合为玉结晶,11500202_png,4,4
10500203,玉结晶,魔法的中级容器之一。魔法玉结晶相遇时激发巨大能量并融合为玉六芒星,11500203_png,8,8
10500204,玉六芒星,魔法的高级容器之一。玉六芒星相遇时将激发巨大的能量并融合为玉法阵,11500204_png,10,10
10500205,玉阵法,魔法顶级容器。玉法阵相遇时将激发巨大能量，这股能量风暴将扫荡一切,11500205_png,12,12
10500301,苍罗盘,魔法的基础容器之一。魔法苍罗盘相遇时将激发巨大能量并融合为苍矩阵,11500301_png,2,2
10500302,苍矩阵,魔法的初级容器之一。魔法苍矩阵相遇时将激发巨大能量并融合为苍结晶,11500302_png,4,4
10500303,苍结晶,魔法的中级容器之一。魔法苍结晶相遇时激发巨大能量并融合为苍六芒星,11500303_png,8,8
10500304,苍六芒星,魔法的高级容器之一。苍六芒星相遇时将激发巨大的能量并融合为苍法阵,11500304_png,10,10
10500305,苍阵法,魔法顶级容器。苍法阵相遇时将激发巨大能量，这股能量风暴将扫荡一切,11500305_png,12,12
10500401,赤罗盘,魔法的基础容器之一。魔法赤罗盘相遇时将激发巨大能量并融合为赤矩阵,11500401_png,2,2
10500402,赤矩阵,魔法的初级容器之一。魔法赤矩阵相遇时将激发巨大能量并融合为赤结晶,11500402_png,4,4
10500403,赤结晶,魔法的中级容器之一。魔法赤结晶相遇时激发巨大能量并融合为赤六芒星,11500403_png,8,8
10500404,赤六芒星,魔法的高级容器之一。赤六芒星相遇时将激发巨大的能量并融合为赤法阵,11500404_png,10,10
10500405,赤阵法,魔法顶级容器。赤法阵相遇时将激发巨大能量，这股能量风暴将扫荡一切,11500405_png,12,12
10500501,邃罗盘,魔法的基础容器之一。魔法邃罗盘相遇时将激发巨大能量并融合为邃矩阵,11500501_png,2,2
10500502,邃矩阵,魔法的初级容器之一。魔法邃矩阵相遇时将激发巨大能量并融合为邃结晶,11500502_png,4,4
10500503,邃结晶,魔法的中级容器之一。魔法邃结晶相遇时激发巨大能量并融合为邃六芒星,11500503_png,8,8
10500504,邃六芒星,魔法的高级容器之一。邃六芒星相遇时将激发巨大的能量并融合为邃法阵,11500504_png,10,10
10500505,邃阵法,魔法顶级容器。邃法阵相遇时将激发巨大能量，这股能量风暴将扫荡一切,11500505_png,12,12
10500106,金震波,金石精成，遇则崩坏，相如震波。,11500106_png,3,3
10500107,金涟漪,金石雕铸，诚尔汇集，涟漪散播。,11500107_png,6,6
10500108,金节律,金石刻印，聚其纵横，崩坏节律。,11500108_png,9,9
10500109,金韵度,以金汇石，阡陌连结，几度强韵。,11500109_png,11,11
10500110,金和弦,聚金琢玉，四方双向，九弦合声。,11500110_png,13,13
10500206,玉震波,玉石精成，遇则崩坏，相如震波。,11500206_png,3,3
10500207,玉涟漪,玉石雕铸，诚尔汇集，涟漪散播。,11500207_png,6,6
10500208,玉节律,玉石刻印，聚其纵横，崩坏节律。,11500208_png,9,9
10500209,玉韵度,以玉汇石，阡陌连结，几度强韵,11500209_png,11,11
10500210,玉和弦,聚玉琢金，四方双向，九弦合声,11500210_png,13,13
10500306,苍震波,苍石精成，遇则崩坏，相如震波。,11500306_png,3,3
10500307,苍涟漪,苍石雕铸，诚尔汇集，涟漪散播。,11500307_png,6,6
10500308,苍节律,苍石刻印，聚其纵横，崩坏节律。,11500308_png,9,9
10500309,苍韵度,以苍汇石，阡陌连结，几度强韵,11500309_png,11,11
10500310,苍和弦,聚苍琢玉，四方双向，九弦合声,11500310_png,13,13
10500406,赤震波,赤石精成，遇则崩坏，相如震波。,11500406_png,3,3
10500407,赤涟漪,赤石雕铸，诚尔汇集，涟漪散播。,11500407_png,6,6
10500408,赤节律,赤石刻印，聚其纵横，崩坏节律。,11500408_png,9,9
10500409,赤韵度,以赤汇石，阡陌连结，几度强韵,11500409_png,11,11
10500410,赤和弦,聚赤琢玉，四方双向，九弦合声,11500410_png,13,13
10500506,邃震波,邃石精成，遇则崩坏，相如震波。,11500506_png,3,3
10500507,邃涟漪,邃石雕铸，诚尔汇集，涟漪散播。,11500507_png,6,6
10500508,邃节律,邃石刻印，聚其纵横，崩坏节律。,11500508_png,9,9
10500509,邃韵度,以邃汇石，阡陌连结，几度强韵,11500509_png,11,11
10500510,邃和弦,聚邃琢玉，四方双向，九弦合声,11500510_png,13,13
10500111,金宫,全音金刻——宫。,11500111_png,5,5
10500112,金商,全音金刻——商。,11500112_png,10,10
10500113,金角,全音金刻——角。,11500113_png,15,15
10500114,金徵,全音金刻——徵。,11500114_png,20,20
10500115,金羽,全音金刻——羽。,11500115_png,25,25
10500211,玉宫,全音玉刻——宫。,11500211_png,5,5
10500212,玉商,全音玉刻——商。,11500212_png,10,10
10500213,玉角,全音玉刻——角。,11500213_png,15,15
10500214,玉徵,全音玉刻——徵。,11500214_png,20,20
10500215,玉羽,全音玉刻——羽。,11500215_png,25,25
10500311,苍宫,全音苍刻——宫。,11500311_png,5,5
10500312,苍商,全音苍刻——商。,11500312_png,10,10
10500313,苍角,全音苍刻——角。,11500313_png,15,15
10500314,苍徵,全音苍刻——徵。,11500314_png,20,20
10500315,苍羽,全音苍刻——羽。,11500315_png,25,25
10500411,赤宫,全音赤刻——宫。,11500411_png,5,5
10500412,赤商,全音赤刻——商。,11500412_png,10,10
10500413,赤角,全音赤刻——角。,11500413_png,15,15
10500414,赤徵,全音赤刻——徵。,11500414_png,20,20
10500415,赤羽,全音赤刻——羽。,11500415_png,25,25
10500511,邃宫,全音邃刻——宫。,11500511_png,5,5
10500512,邃商,全音邃刻——商。,11500512_png,10,10
10500513,邃角,全音邃刻——角。,11500513_png,15,15
10500514,邃徵,全音邃刻——徵。,11500514_png,20,20
10500515,邃羽,全音邃刻——羽。,11500515_png,25,25
